QUEST,option1,option2,option3,option4,option5,answer,,,,,Options,Answers,Questions
"For which of the following pair of ODI, the runs scored in all the three series together are equal?",ODI 3 & ODI 6,ODI 4 & ODI 6,ODI 5 & ODI 6,ODI 4 & ODI 6,ODI 3 & ODI 4,5,,,,,"[""ODI 3 & ODI 6"",""ODI 4 & ODI 6"",""ODI 5 & ODI 6"",""ODI 4 & ODI 6"",""ODI 3 & ODI 4""]",4,"""For which of the following pair of ODI, the runs scored in all the three series together are equal?"""
"Read the following information carefully to answer the question asked.
Following pie chart shows the information about the percentage of population distribution of five villages and the table shows the ratio of male­female and literate and illiterates in these villages.
Find the ratio between the numbers of females in village A to the number of literates in village C.",7:03,3:07,10:03,3:10,None of these,3,,,,,"[""0.29375"",""0.129861111111111"",""0.41875"",""0.131944444444444"",""None of these""]",2,"""Read the following information carefully to answer the question asked.
Following pie chart shows the information about the percentage of population distribution of five villages and the table shows the ratio of male­female and literate and illiterates in these villages.
Find the ratio between the numbers of females in village A to the number of literates in village C."""
Find the difference between the total number of illiterates and total number of literates from village D if total population of village A is 200.,120,200,250,175,None of these,5,,,,,"[""120"",""200"",""250"",""175"",""None of these""]",4,"""Find the difference between the total number of illiterates and total number of literates from village D if total population of village A is 200."""
"If number of women in village B is 360 less than the number of men, then find the difference of literate and illiterate population of village E.",40,60,50,80,None of these,2,,,,,"[""40"",""60"",""50"",""80"",""None of these""]",1,"""If number of women in village B is 360 less than the number of men, then find the difference of literate and illiterate population of village E."""
"Find the total number of literates in village A, C & D if total population of all five villages is 2400.",840,720,600,920,None of these,1,,,,,"[""840"",""720"",""600"",""920"",""None of these""]",0,"""Find the total number of literates in village A, C & D if total population of all five villages is 2400."""
Find the ratio of number of literates and illiterates taking village B & E together?,123 : 77,159 : 84,143 : 97,216 : 187,None of these,3,,,,,"[""123 : 77"",""159 : 84"",""143 : 97"",""216 : 187"",""None of these""]",2,"""Find the ratio of number of literates and illiterates taking village B & E together?"""
Fresh nuts contain 80% water by weight where as dry nuts contain 50% water weight. Suresh buys 60kg of fresh nuts for a total price of Rs 200. At what price per kg should he sell the dry nuts (fresh nuts are dried up) to earn 20% profit?,rs10/kg,rs12/kg,rs15/kg,rs14/kg,rs18/kg,1,,,,,"[""rs10/kg"",""rs12/kg"",""rs15/kg"",""rs14/kg"",""rs18/kg""]",0,"""Fresh nuts contain 80% water by weight where as dry nuts contain 50% water weight. Suresh buys 60kg of fresh nuts for a total price of Rs 200. At what price per kg should he sell the dry nuts (fresh nuts are dried up) to earn 20% profit?"""
A train overtakes two persons who are walking in same direction as the train is moving at the rate of 2 km/hrs and 4 km/hrs and a train passes them completely 8 & 9 sec respectively. Find the speed of the train,35 km/hr,45 km/hr,20 km/hr,data inadequate,None of these,3,,,,,"[""35 km/hr"",""45 km/hr"",""20 km/hr"",""data inadequate"",""None of these""]",2,"""A train overtakes two persons who are walking in same direction as the train is moving at the rate of 2 km/hrs and 4 km/hrs and a train passes them completely 8 & 9 sec respectively. Find the speed of the train"""
The difference between the compound and simple interest on a certain sum of money for 3 yrs at per annum to rupees rs 184. Find out the sum?,Rs. 13500,Rs. 12500,Rs. 10500,Rs. 11500,None of these,1,,,,,"[""Rs. 13500"",""Rs. 12500"",""Rs. 10500"",""Rs. 11500"",""None of these""]",0,"""The difference between the compound and simple interest on a certain sum of money for 3 yrs at per annum to rupees rs 184. Find out the sum?"""
"The average height of three boys A, B & C is 120cms and their heights are in proportion of 8: 7: 5 respectively. What is the height of B in cms?",120,126,90 0,84,None of these,4,,,,,"[""120"",""126"",""90 0"",""84"",""None of these""]",3,"""The average height of three boys A, B & C is 120cms and their heights are in proportion of 8: 7: 5 respectively. What is the height of B in cms?"""
The area of square is 4/3 that of triangle. If area of square is 1024 square.cm. and breadth of rectangle is 12cm the what is the difference between length of the rectangle and side of the square?,18cm,20cm,16cm,24cm,None of these,5,,,,,"[""18cm"",""20cm"",""16cm"",""24cm"",""None of these""]",4,"""The area of square is 4/3 that of triangle. If area of square is 1024 square.cm. and breadth of rectangle is 12cm the what is the difference between length of the rectangle and side of the square?"""
Choose the correctly spelled word?,Questionaire,Questtionnaire,Questionnaire,All are Misspelled,3,,,,,,"[""Questionaire"",""Questtionnaire"",""Questionnaire"",""All are Misspelled""]",2,"""Choose the correctly spelled word?"""
Choose the correctly spelled word?,Orphanege,Orphanage,Orphannage,All are Misspelled,2,,,,,,"[""Orphanege"",""Orphanage"",""Orphannage"",""All are Misspelled""]",1,"""Choose the correctly spelled word?"""
Choose the correctly spelled word?,Mysterious,Mystreious,Mysterioos,All are Misspelled,1,,,,,,"[""Mysterious"",""Mystreious"",""Mysterioos"",""All are Misspelled""]",0,"""Choose the correctly spelled word?"""
"Charles Lamb’s prose is richly ____ with literary ornaments like similes, metaphors, alliterations, transferred epithets, etc.",embroidered,embellished,saturated,embalmed,,2,,,,,"[""embroidered"",""embellished"",""saturated"",""embalmed""]",1,"""Charles Lamb’s prose is richly ____ with literary ornaments like similes, metaphors, alliterations, transferred epithets, etc."""
We decided to take the shortest ________ to our ____,"distance, place","route, residence","root, house","route, destination",2,,,,,,"[""distance, place"",""route, residence"",""root, house"",""route, destination""]",1,"""We decided to take the shortest ________ to our ____"""
The security forces fired at the ___ who was armed to the ____,"dacoit, teeth","criminal, toe","thief, head","culprit, nail",,2,,,,,"[""dacoit, teeth"",""criminal, toe"",""thief, head"",""culprit, nail""]",1,"""The security forces fired at the ___ who was armed to the ____"""
Many tourists to India visit the beautiful ___ of Kashmir ____ in spring and summer.,"valley, especially","lakes, rarely","town, frequently","scenary, generally",1,,,,,,"[""valley, especially"",""lakes, rarely"",""town, frequently"",""scenary, generally""]",0,"""Many tourists to India visit the beautiful ___ of Kashmir ____ in spring and summer."""
But for his ___ I would not have _____,"assistance, failed","help, succeeded","advice, lost","suggestion, won",2,,,,,,"[""assistance, failed"",""help, succeeded"",""advice, lost"",""suggestion, won""]",1,"""But for his ___ I would not have _____"""
A glue produced by bees to ______ their hives appears to contain antibiotic substances.,design,build,structure,collect,,2,,,,,"[""design"",""build"",""structure"",""collect""]",1,"""A glue produced by bees to ______ their hives appears to contain antibiotic substances."""
"Amongst the two brothers, Rohan being worthier often _____ the younger Mohan.",overshadows,subdues,dominates,eclipses,,1,,,,,"[""overshadows"",""subdues"",""dominates"",""eclipses""]",0,"""Amongst the two brothers, Rohan being worthier often _____ the younger Mohan."""
The ties that bind a family together are so ______ that they can hardly withstand any strain.,tentative,twisted,tenacious,tenuous,,4,,,,,"[""tentative"",""twisted"",""tenacious"",""tenuous""]",3,"""The ties that bind a family together are so ______ that they can hardly withstand any strain."""
The annual _____ of industrial products has risen enormously in recent years.,output,outcome,outbreak,outlay,,1,,,,,"[""output"",""outcome"",""outbreak"",""outlay""]",0,"""The annual _____ of industrial products has risen enormously in recent years."""
Parliamentary democracy demands a discipline and _____ to the rules.,liability,subjection,obligation,adherence,,4,,,,,"[""liability"",""subjection"",""obligation"",""adherence""]",3,"""Parliamentary democracy demands a discipline and _____ to the rules."""
"In each of the following questions, a sentence is divided into four parts; (A), (B), (C) and (D). There may be an error in one of the parts, which makes the sentence grammatically or contextually incorrect. Choose the option with the part containing error.

It brings with it issues not only of cultural and (A) / managerial alterations, but rather various financial conflicts, (B) / such as internal disputes between the banks (C) / that could affect lending as well as recovery. (D) / No error (E)",A,B,C,D,E,2,,,,,"[""A"",""B"",""C"",""D""]",1,"""In each of the following questions, a sentence is divided into four parts; (A), (B), (C) and (D). There may be an error in one of the parts, which makes the sentence grammatically or contextually incorrect. Choose the option with the part containing error.

It brings with it issues not only of cultural and (A) / managerial alterations, but rather various financial conflicts, (B) / such as internal disputes between the banks (C) / that could affect lending as well as recovery. (D) / No error (E)"""
"In each of the following questions, a sentence is divided into four parts; (A), (B), (C) and (D). There may be an error in one of the parts, which makes the sentence grammatically or contextually incorrect. Choose the option with the part containing error.

Issues could include something as simple as an internal (A) / hierarchical muddle to more direct and large conflicts like priority (B)/ of charge on securities in cases of common stressed assets, (C) / and the different recovery process being followed by each bank. (D) / No error (E)",A,B,C,D,E,2,,,,,"[""A"",""B"",""C"",""D""]",1,"""In each of the following questions, a sentence is divided into four parts; (A), (B), (C) and (D). There may be an error in one of the parts, which makes the sentence grammatically or contextually incorrect. Choose the option with the part containing error.

Issues could include something as simple as an internal (A) / hierarchical muddle to more direct and large conflicts like priority (B)/ of charge on securities in cases of common stressed assets, (C) / and the different recovery process being followed by each bank. (D) / No error (E)"""
"In each of the following questions, a sentence is divided into four parts; (A), (B), (C) and (D). There may be an error in one of the parts, which makes the sentence grammatically or contextually incorrect. Choose the option with the part containing error.

It is necessary that resources be dedicated (A) / towards engaging competent teams (B) / from oversee and resolve issues arising (C) out of such a transition phase. (D) / No error (E)",A,B,C,D,E,3,,,,,"[""A"",""B"",""C"",""D""]",2,"""In each of the following questions, a sentence is divided into four parts; (A), (B), (C) and (D). There may be an error in one of the parts, which makes the sentence grammatically or contextually incorrect. Choose the option with the part containing error.

It is necessary that resources be dedicated (A) / towards engaging competent teams (B) / from oversee and resolve issues arising (C) out of such a transition phase. (D) / No error (E)"""
"In each of the following questions, a sentence is divided into four parts; (A), (B), (C) and (D). There may be an error in one of the parts, which makes the sentence grammatically or contextually incorrect. Choose the option with the part containing error.

Global oil demand is muted against the backdrop in economic uncertainty (A) / and continuing trade frictions, and there has been (B) / a surge in petroleum output in the US and elsewhere, (C) / which should ease oil prices sooner rather than later. (D) / No error (E)",A,B,C,D,E,3,,,,,"[""A"",""B"",""C"",""D""]",2,"""In each of the following questions, a sentence is divided into four parts; (A), (B), (C) and (D). There may be an error in one of the parts, which makes the sentence grammatically or contextually incorrect. Choose the option with the part containing error.

Global oil demand is muted against the backdrop in economic uncertainty (A) / and continuing trade frictions, and there has been (B) / a surge in petroleum output in the US and elsewhere, (C) / which should ease oil prices sooner rather than later. (D) / No error (E)"""
"In each of the following questions, a sentence is divided into four parts; (A), (B), (C) and (D). There may be an error in one of the parts, which makes the sentence grammatically or contextually incorrect. Choose the option with the part containing error.

The way ahead is for the government to (A) / fast forward long pending reform of (B) / oil marketing, so as to purposefully shore on (C) / investments and revamp market design in oil. / No error (E)",A,B,C,D,E,3,,,,,"[""A"",""B"",""C"",""D""]",2,"""In each of the following questions, a sentence is divided into four parts; (A), (B), (C) and (D). There may be an error in one of the parts, which makes the sentence grammatically or contextually incorrect. Choose the option with the part containing error.

The way ahead is for the government to (A) / fast forward long pending reform of (B) / oil marketing, so as to purposefully shore on (C) / investments and revamp market design in oil. / No error (E)"""
"In each of the questions below, a sentence has been broken into four parts with one word highlighted in bold in each fragment. From the given options, identify the word which expresses a meaning opposite to the given sentence, with the highlighted word replaced by a word of the opposite meaning.

The cartoon triggered (A)/ widespread allegations (B)/ of racism (C)/ against the illustrator. (D)",A-stimulated,B-acclaim,C-xenophobia,D-versus,All of the above,2,,,,,"[""A-stimulated"",""B-acclaim"",""C-xenophobia"",""D-versus""]",1,"""In each of the questions below, a sentence has been broken into four parts with one word highlighted in bold in each fragment. From the given options, identify the word which expresses a meaning opposite to the given sentence, with the highlighted word replaced by a word of the opposite meaning.

The cartoon triggered (A)/ widespread allegations (B)/ of racism (C)/ against the illustrator. (D)"""
"In each of the questions below, a sentence has been broken into four parts with one word highlighted in bold in each fragment. From the given options, identify the word which expresses a meaning opposite to the given sentence, with the highlighted word replaced by a word of the opposite meaning.

The army will continue to (A)/ monitor the performance of (B)/ all the athletes and prepare (C)/ them for the imminent games. (D)",A-persist,B-surveil,C-inculcate,D-foregone,None of the above,4,,,,,"[""A-persist"",""B-surveil"",""C-inculcate"",""D-foregone""]",3,"""In each of the questions below, a sentence has been broken into four parts with one word highlighted in bold in each fragment. From the given options, identify the word which expresses a meaning opposite to the given sentence, with the highlighted word replaced by a word of the opposite meaning.

The army will continue to (A)/ monitor the performance of (B)/ all the athletes and prepare (C)/ them for the imminent games. (D)"""
"In each of the questions below, a sentence has been broken into four parts with one word highlighted in bold in each fragment. From the given options, identify the word which expresses a meaning opposite to the given sentence, with the highlighted word replaced by a word of the opposite meaning.

Vistara world will introduce (A)/ a live moving map (B)/ display that allows (C)/ passengers to track their aircraft. (D)",A-initiate,B-dynamic,C-quashes,D-trail,None of the above,3,,,,,"[""A-initiate"",""B-dynamic"",""C-quashes"",""D-trail""]",2,"""In each of the questions below, a sentence has been broken into four parts with one word highlighted in bold in each fragment. From the given options, identify the word which expresses a meaning opposite to the given sentence, with the highlighted word replaced by a word of the opposite meaning.

Vistara world will introduce (A)/ a live moving map (B)/ display that allows (C)/ passengers to track their aircraft. (D)"""
"In each of the questions below, a sentence has been broken into four parts with one word highlighted in bold in each fragment. From the given options, identify the word which expresses a meaning opposite to the given sentence, with the highlighted word replaced by a word of the opposite meaning.

With heavy rains in (A)/ most parts of the state (B)/ Kharif sowing has been (C)/ most encouraging this year. (D)",A-hefty,B-greater,C-harvesting,D-promising,None of the above,3,,,,,"[""A-hefty"",""B-greater"",""C-harvesting"",""D-promising""]",2,"""In each of the questions below, a sentence has been broken into four parts with one word highlighted in bold in each fragment. From the given options, identify the word which expresses a meaning opposite to the given sentence, with the highlighted word replaced by a word of the opposite meaning.

With heavy rains in (A)/ most parts of the state (B)/ Kharif sowing has been (C)/ most encouraging this year. (D)"""
"In each of the questions below, a sentence has been broken into four parts with one word highlighted in bold in each fragment. From the given options, identify the word which expresses a meaning opposite to the given sentence, with the highlighted word replaced by a word of the opposite meaning.

Over-optimistic bankers and (A)/ slowdown in government decison-making process (B)/ contributed to the (C)/ mounting bad loans. (D)",A-sanguine,B-retardation,C-lead,D-rising,None of the above,5,,,,,"[""A-sanguine"",""B-retardation"",""C-lead"",""D-rising""]",4,"""In each of the questions below, a sentence has been broken into four parts with one word highlighted in bold in each fragment. From the given options, identify the word which expresses a meaning opposite to the given sentence, with the highlighted word replaced by a word of the opposite meaning.

Over-optimistic bankers and (A)/ slowdown in government decison-making process (B)/ contributed to the (C)/ mounting bad loans. (D)"""
"Which of these words is closest in meaning to the word provided?

Banish",exile,hate,fade,clean,,1,,,,,"[""exile"",""hate"",""fade"",""clean""]",0,"""Which of these words is closest in meaning to the word provided?

Banish"""
"Which of these words is closest in meaning to the word provided?

Fraud",malcontent,argument,imposter,clown,,3,,,,,"[""malcontent"",""argument"",""imposter"",""clown""]",2,"""Which of these words is closest in meaning to the word provided?

Fraud"""
"Which of these words is closest in meaning to the word provided?

Saccharine",leave,sweet,arid,quit,,2,,,,,"[""leave"",""sweet"",""arid"",""quit""]",1,"""Which of these words is closest in meaning to the word provided?

Saccharine"""
"Which of these words is closest in meaning to the word provided?

Drag",sleepy,crush,proud,pull,,4,,,,,"[""sleepy"",""crush"",""proud"",""pull""]",3,"""Which of these words is closest in meaning to the word provided?

Drag"""
"Which of these words is closest in meaning to the word provided?

Jovial",incredulous,merry,revolting,dizzy,,2,,,,,"[""incredulous"",""merry"",""revolting"",""dizzy""]",1,"""Which of these words is closest in meaning to the word provided?

Jovial"""
"Which of these words is most nearly the opposite of the word provided?

Pit",group,peak,select,marry,,2,,,,,"[""group"",""peak"",""select"",""marry""]",1,"""Which of these words is most nearly the opposite of the word provided?

Pit"""
"Which of these words is most nearly the opposite of the word provided?

Rotund",round,unimportant,thin,dull,,3,,,,,"[""round"",""unimportant"",""thin"",""dull""]",2,"""Which of these words is most nearly the opposite of the word provided?

Rotund"""
"Which of these words is most nearly the opposite of the word provided?

Talent",ungrateful,silent,show,inability,,4,,,,,"[""ungrateful"",""silent"",""show"",""inability""]",3,"""Which of these words is most nearly the opposite of the word provided?

Talent"""
"Which of these words is most nearly the opposite of the word provided?

Common",strange,uneasy,quick,fast,,1,,,,,"[""strange"",""uneasy"",""quick"",""fast""]",0,"""Which of these words is most nearly the opposite of the word provided?

Common"""
"Which of these words is most nearly the opposite of the word provided?

Brazen",bashful,boisterous,noisy,heated,,1,,,,,"[""bashful"",""boisterous"",""noisy"",""heated""]",0,"""Which of these words is most nearly the opposite of the word provided?

Brazen"""
Which among the following enzyme allows the cows to digest cellulose?,beta-lactase,alpha-amylase,beta-amylase,alpha-lactase,3,,,,,,"[""beta-lactase"",""alpha-amylase"",""beta-amylase"",""alpha-lactase""]",2,"""Which among the following enzyme allows the cows to digest cellulose?"""
"Consider the following statements with reference to the active and passive immunity against the pathogens:
1. Vaccines provide us passive immunity.
2. Passive immunity can be acquired only artificially.

Which among the above statements is/ are correct?",Only 1 is correct,Only 2 is correct,Both 1 and 2 are correct,Neither 1 nor 2 is correct,1,,,,,,"[""Only 1 is correct"",""Only 2 is correct"",""Both 1 and 2 are correct"",""Neither 1 nor 2 is correct""]",0,"""Consider the following statements with reference to the active and passive immunity against the pathogens:
1. Vaccines provide us passive immunity.
2. Passive immunity can be acquired only artificially.

Which among the above statements is/ are correct?"""
The ancestors of land plants were most likely similar to modern______:,Conifers,Ferns,Green Algae,Flowering Plants,3,,,,,,"[""Conifers"",""Ferns"",""Green Algae"",""Flowering Plants""]",2,"""The ancestors of land plants were most likely similar to modern______:"""
"With reference to human blood, consider the following statements:
1. The Red Blood Cells live for around 120 days.
2. Both Red and White blood cells are formed in the bone marrow.
The platelets are not cells.

Which among the above statements is/are correct?",Only 1 and 2,Only 2 and 3,Only 1 and 3,"1, 2 and 3",,4,,,,,"[""Only 1 and 2"",""Only 2 and 3"",""Only 1 and 3"",""1, 2 and 3""]",3,"""With reference to human blood, consider the following statements:
1. The Red Blood Cells live for around 120 days.
2. Both Red and White blood cells are formed in the bone marrow.
The platelets are not cells.

Which among the above statements is/are correct?"""
"How Potato and Sweet Potato are similar to each other?
1. Both are underground stems.
2. Both belong to same plant family.
3. Both originated in Central America.

Select the correct option from the codes given below:",Only 1 is correct,Only 2 and 3 are correct,Only 1 and 3 are correct,None is correct,4,,,,,,"[""Only 1 is correct"",""Only 2 and 3 are correct"",""Only 1 and 3 are correct"",""None is correct""]",3,"""How Potato and Sweet Potato are similar to each other?
1. Both are underground stems.
2. Both belong to same plant family.
3. Both originated in Central America.

Select the correct option from the codes given below:"""
"In humans, fertilization normally occurs in __?",Ovary,Fallopian Tube,Uterus,Placenta,,2,,,,,"[""Ovary"",""Fallopian Tube"",""Uterus"",""Placenta""]",1,"""In humans, fertilization normally occurs in __?"""
"Consider the following statements:
1.Caffeine is found in Coffee, Cacao as well as tea
2.Tea contains more caffeine than coffee by dry weight.

Which among the above is / are correct statements?",Only 1,Only 2,Both 1 and 2,Neither 1 nor 2,3,,,,,,"[""Only 1"",""Only 2"",""Both 1 and 2"",""Neither 1 nor 2""]",2,"""Consider the following statements:
1.Caffeine is found in Coffee, Cacao as well as tea
2.Tea contains more caffeine than coffee by dry weight.

Which among the above is / are correct statements?"""
The animals of which of the following sets are collectively called as Elasmobranches?,"Shark, Skates and Rays","Shark, Rays and Dolphins","Shark, Skates and Dolphins","Skates, Dolphins and Rays",1,,,,,,"[""Shark, Skates and Rays"",""Shark, Rays and Dolphins"",""Shark, Skates and Dolphins"",""Skates, Dolphins and Rays""]",0,"""The animals of which of the following sets are collectively called as Elasmobranches?"""
"The lung fluke disease (paragonimiasis) is sometimes confused with the tuberculosis. The lung fluke disease is__:
1. caused by a round worm
2. is found commonly in countries which use raw seafood
3. is prevalent in North East India

Which among the above is / are correct statements?",Only 1 and 2,Only 2 and 3,Only 1 and 3,"1, 2 and 3",,2,,,,,"[""Only 1 and 2"",""Only 2 and 3"",""Only 1 and 3"",""1, 2 and 3""]",1,"""The lung fluke disease (paragonimiasis) is sometimes confused with the tuberculosis. The lung fluke disease is__:
1. caused by a round worm
2. is found commonly in countries which use raw seafood
3. is prevalent in North East India

Which among the above is / are correct statements?"""
"Various applications of the DNA sequencing include:
1. Identifying a particular individual
2. Diagnosis of genetic and non-genetic diseases
3. Improve quality of livestock and crops
4. Confirm and establish species identity

Select the correct option from the codes given below:",Only 1 and 2,"Only 1, 2 and 3","Only 1, 3 and 4","1, 2, 3 and 4",,4,,,,,"[""Only 1 and 2"",""Only 1, 2 and 3"",""Only 1, 3 and 4"",""1, 2, 3 and 4""]",3,"""Various applications of the DNA sequencing include:
1. Identifying a particular individual
2. Diagnosis of genetic and non-genetic diseases
3. Improve quality of livestock and crops
4. Confirm and establish species identity

Select the correct option from the codes given below:"""
"Consider the following diseases:
1. Kala-azar
2. Chikungunya
3. Filariasis

The WHO's mandatory elimination list calls for elimination of which of the above by 2017 from India?",Only 1 and 2,Only 2 and 3,Only 1 and 3,"1, 2 and 3",,3,,,,,"[""Only 1 and 2"",""Only 2 and 3"",""Only 1 and 3"",""1, 2 and 3""]",2,"""Consider the following diseases:
1. Kala-azar
2. Chikungunya
3. Filariasis

The WHO's mandatory elimination list calls for elimination of which of the above by 2017 from India?"""
"Which of the following is/are true fruits?
1. Mango
2. Apple
3. Strawberry
4. Pod of Groundnut

Select the correct option from the codes given below:","Only 1, 3 and 4",Only 1 and 2,Only 1 and 4,"Only 1, 2 and 4",3,,,,,,"[""Only 1, 3 and 4"",""Only 1 and 2"",""Only 1 and 4"",""Only 1, 2 and 4""]",2,"""Which of the following is/are true fruits?
1. Mango
2. Apple
3. Strawberry
4. Pod of Groundnut

Select the correct option from the codes given below:"""
"‘Mosquitoes breed on stagnant water and their larvae keep floating on water’. When oil is sprinkled on the stagnant water, it results in the drowning and death of the larvae. Which of the following is the reason behind death of larvae?",Sprinkling of oil in water reduces surface tension of water,Sprinkling of oil in water increase surface tension of water,Sprinkling of oil in water increases viscosity of water,Sprinkling of oil in water cut of oxygen supply to larvae.,1,,,,,,"[""Sprinkling of oil in water reduces surface tension of water"",""Sprinkling of oil in water increase surface tension of water"",""Sprinkling of oil in water increases viscosity of water"",""Sprinkling of oil in water cut of oxygen supply to larvae.""]",0,"""‘Mosquitoes breed on stagnant water and their larvae keep floating on water’. When oil is sprinkled on the stagnant water, it results in the drowning and death of the larvae. Which of the following is the reason behind death of larvae?"""
"Consider the following differences between RBCs and WBCs in human body:
1.RBCs are smaller in size but larger in number compared to WBCs
2.While RBCs do not have nucleus, WBCs have nucleus

Which of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,3,,,,,,"[""1 only"",""2 only"",""Both 1 and 2"",""Neither 1 nor 2""]",2,"""Consider the following differences between RBCs and WBCs in human body:
1.RBCs are smaller in size but larger in number compared to WBCs
2.While RBCs do not have nucleus, WBCs have nucleus

Which of the above statements is/are correct?"""
"The MMR vaccine is an immunization vaccine against:
1. Rubeola
2. Malaria
3. Mumps
4. Rubella

Select the correct option from codes given below:","1, 2 and 3 only","2, 3 and 4 only","1, 3 and 4 only","1, 2 and 4 only",3,,,,,,"[""1, 2 and 3 only"",""2, 3 and 4 only"",""1, 3 and 4 only"",""1, 2 and 4 only""]",2,"""The MMR vaccine is an immunization vaccine against:
1. Rubeola
2. Malaria
3. Mumps
4. Rubella

Select the correct option from codes given below:"""
